entity_name,vehicle_class_col_id,registrations,entity_type
BMW INDIA PVT LTD,2,2,Maker
FCA INDIA AUTOMOBILES PRIVATE LIMITED,2,2,Maker
FORCE MOTORS LIMITED,2,1,Maker
HERO MOTOCORP LTD,2,1,Maker
HONDA CARS INDIA LTD,2,30,Maker
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2,3,Maker
HYUNDAI MOTOR INDIA LTD,2,271,Maker
JSW MG MOTOR INDIA PVT LTD,2,12,Maker
KIA INDIA PRIVATE LIMITED,2,100,Maker
MAHINDRA ELECTRIC AUTOMOBILE LTD,2,1,Maker
MAHINDRA & MAHINDRA LIMITED,2,122,Maker
MARUTI SUZUKI INDIA LTD,2,735,Maker
MERCEDES-BENZ INDIA PVT LTD,2,1,Maker
NISSAN MOTOR INDIA PVT LTD,2,27,Maker
PCA AUTOMOBILES INDIA PVT LTD,2,3,Maker
RENAULT INDIA PVT LTD,2,30,Maker
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,2,27,Maker
TATA MOTORS LTD,2,1,Maker
TATA MOTORS PASSENGER VEHICLES LTD,2,510,Maker
TATA PASSENGER ELECTRIC MOBILITY LTD,2,18,Maker
TOYOTA KIRLOSKAR MOTOR PVT LTD,2,65,Maker
TVS MOTOR COMPANY LTD,2,2,Maker
AJAY AGRO ENTERPRISES SAMBALPUR PARDHIAPALI,3,1,Maker
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,3,4,Maker
ASHOK LEYLAND LTD,3,45,Maker
ASTON MARTIN LAGONDA LTD,3,6,Maker
AUDI AG,3,178,Maker
AUTOMOBILI LAMBORGHINI S.P.A,3,87,Maker
BAJAJ AUTO LTD,3,9,Maker
BENTLEY MOTORS LIMITED,3,21,Maker
DAIMLER AG,3,1,Maker
EARTH MOBILITY,3,1,Maker
FERRARI SPA (IMPORTER:NAVNIT MOTORS PVT LTD),3,13,Maker
FERRARI SPA (IMPORTER:SELECT CARS P LTD),3,11,Maker
FORD INDIA PVT LTD,3,14,Maker
GENERAL MOTORS INDIA PVT LTD,3,3,Maker
G. M. VEHICLE INDUSTRIES,3,1,Maker
HAMM AG,3,1,Maker
HERO MOTOCORP LTD,3,1,Maker
HINDUSTAN MOTORS LTD,3,5,Maker
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,3,2,Maker
